name,C2A1,C3A1,C4A1,C5A1,C6A1,C9A1,C10A1,C1A1,C7A1,C8A1,C11A1,C12A1,C13A1,C14A1,GeneName,Biotype
ABHD10,2.279743715,2.457930712,2.489867506,2.365386484,2.283511465,3.134968711,1.629738017,1.392470892,3.347404438,2.618126779,3.279994792,2.402567782,2.023588979,3.476664456,ABHD10,protein_coding
ABHD11,4.811271625,3.059486773,3.733585004,2.631470832,4.143223609,3.075082007,7.43519777,2.260563037,2.861710892,5.098231983,3.24613738,3.998972648,2.660838673,3.370426483,ABHD11,protein_coding
ABHD12,17.77748904,11.17953935,11.53247755,21.10501422,11.93883401,9.362367155,10.90597342,16.70294475,11.14298951,11.13471263,11.58402224,8.455689583,11.29014696,13.6537023,ABHD12,protein_coding
ABHD12B,362.5097764,337.7173058,417.7798375,389.3413233,885.2429305,356.386499,413.7780344,355.6172378,169.6108587,337.4562447,277.4466237,323.2334745,337.3783199,257.7272443,ABHD12B,protein_coding
ABHD13,8.941436861,10.08175909,11.7978503,11.25661531,9.301645036,11.57776423,5.083698107,11.89579203,10.83833625,8.263176901,9.877549598,11.52942917,12.46638806,11.57555408,ABHD13,protein_coding
ABHD14A,6.107531583,3.670693108,3.437849654,3.271806325,3.873595344,4.352781487,4.9617491,1.531843507,2.609940659,6.214496257,5.248563627,3.554262625,4.385676435,6.149706891,ABHD14A,protein_coding
ABHD17A,29.11959103,22.57682361,22.08377472,22.41919911,16.7389291,17.44449803,30.41263499,16.65416436,16.22974529,28.55905366,26.26548796,23.62844561,21.83436498,18.31539943,ABHD17A,protein_coding
ABHD17B,2.816213367,3.198608962,3.654520851,3.528418585,3.210683459,3.592753029,2.289329884,3.838215882,2.687669365,2.627275803,3.588180443,2.537679684,2.786022887,3.315297705,ABHD17B,protein_coding
ABHD17C,2.192875581,1.775057033,1.658528719,1.575048997,1.882639089,1.874246539,1.512102643,1.209710758,1.91725863,1.949153374,2.43779945,1.73811479,1.797621668,1.926601472,ABHD17C,protein_coding
ABHD18,0.212159796,0.383240103,0.61574495,0.340962181,0.2325289,0.275621882,0.228706188,0.614710044,0.508971055,0.280267767,0.205022523,0.209702013,0.225478093,0.430689112,ABHD18,protein_coding
ABHD2,14.37502126,13.79533045,11.29579172,19.06320883,10.68953951,12.59234508,15.44121707,23.8082245,18.88631029,15.1905524,16.53223478,15.17434052,19.65853293,12.21669241,ABHD2,protein_coding
ABHD3,4.086085486,26.55602372,30.08802683,26.75908737,77.23847947,35.88872782,26.394416,33.08369031,26.38458045,25.24638709,14.08649149,23.06366212,56.31784011,22.92794243,ABHD3,protein_coding
ABHD4,88.45478269,133.8763783,143.4651877,113.9714467,95.5828306,124.7582692,76.65525679,197.2159122,145.7213917,79.44825765,89.92366692,129.6770942,133.5820434,176.0055787,ABHD4,protein_coding
ABHD6,86.61590245,36.06365518,165.0469204,75.89599217,115.8393365,34.81925411,126.4400268,29.53304173,93.13883515,100.1421973,95.62959756,90.5173756,76.49056738,126.5413789,ABHD6,protein_coding
ABHD8,1.395336062,0.533628286,0.248507418,0.16610709,0.631139649,0.735880494,0.90992313,0.280583824,0.332111088,0.417647164,0.502069248,0.276685675,0.098483089,0.278331993,ABHD8,protein_coding
ABI1,6.949369597,7.440519984,7.89834913,8.692783865,8.677031537,8.634512175,5.905912055,7.353476867,6.616296294,7.445092408,8.241421295,9.713457052,8.108275535,7.757375629,ABI1,protein_coding
ABI2,18.70795091,20.3072725,28.11038454,23.98545637,42.79261155,28.48119771,30.44251172,22.8862569,33.43627961,20.47047403,24.31146109,32.56686218,34.84052447,28.60975766,ABI2,protein_coding
ABI3,13.70906876,6.443328606,6.968660691,6.63809145,5.363967141,6.015862245,10.06371095,6.278712893,7.153560727,9.402463905,4.113616256,7.264673125,3.713047533,6.31136727,ABI3,protein_coding
ABI3BP,9.081028701,5.109590857,2.54253971,2.065630511,2.445565518,3.802920885,0.793181085,3.356468244,3.010342757,3.509487985,6.95490289,0.897582875,2.476003469,4.133383677,ABI3BP,protein_coding
ABL1,26.29374213,20.83289636,23.26693123,26.34159902,31.9992644,24.11276549,28.3627134,31.67079272,19.50037255,24.05577423,24.15441465,22.42385548,19.43571486,22.01736998,ABL1,protein_coding
ABL2,2.029999922,1.563651108,1.620673345,1.265696006,1.296973562,1.638567841,1.434565389,1.724991045,1.336535384,1.60352751,1.620807276,1.479316908,1.2626355,1.451675318,ABL2,protein_coding
ABLIM1,23.25963053,24.38135821,44.36338298,23.11276028,35.65661435,28.67621177,25.05165362,42.26300246,34.37099256,24.14272882,23.2087285,30.66813901,27.44226085,41.13171564,ABLIM1,protein_coding
ABLIM2,0.274709059,0.247057953,0.060968454,0.191310232,0.545176034,0.21832728,0.029613368,0.181775432,0.062307974,0.124879166,0.303694894,0.058830778,0.15705105,0.162747281,ABLIM2,protein_coding
ABLIM3,9.502920776,3.525992622,4.466913768,4.735868313,8.724941207,3.606684698,7.15436066,1.659881554,5.44628402,7.70814009,5.940295996,5.674312214,5.158504624,3.773366995,ABLIM3,protein_coding
ABR,19.21087327,10.24830545,10.07237988,10.62712735,8.685246719,10.97875495,13.91032411,8.468544358,8.245553824,13.72553462,11.74606555,9.408607821,8.835851844,8.305455218,ABR,protein_coding
ABRA,0.243705092,0.287805189,0.491704428,0.332316432,0.180381116,0.660295305,0.167180178,0.090215416,0.100501505,0.223808416,0.333991183,0.474464289,0.211100145,0.190914967,ABRA,protein_coding
ABRACL,46.04197627,54.02440438,56.56325556,47.09122237,36.14268825,52.7964242,48.10148011,46.70071721,49.08770998,35.20001985,63.99251122,50.01678609,46.33849831,61.65538313,ABRACL,protein_coding
ABTB1,25.88061346,19.12112742,18.87749046,18.53028105,27.42566351,23.09367874,25.78121813,17.29460641,18.71270237,19.99549335,21.51361636,15.07834037,19.11980258,22.60530024,ABTB1,protein_coding
ABTB2,0.47588346,0.208047268,1.012160547,0.169953932,0.191708839,0.256081236,0.149624335,0.121112639,0.146164996,0.170260063,0.199278843,0.031848006,0.17948559,0.149508361,ABTB2,protein_coding
ACAA1,27.81732311,26.69452128,27.82630089,34.836417,36.23854734,27.02057596,37.14110582,30.27518524,36.21062615,28.33729981,26.05827331,27.47717053,33.00413669,32.82666424,ACAA1,protein_coding
ACAA2,47.94705758,58.63303925,59.70359106,61.98368342,59.03926694,56.90794966,65.43539912,36.95401183,56.63657483,64.29332609,56.3936088,59.30468351,58.5015901,68.79368303,ACAA2,protein_coding
ACACA,18.6780358,11.98992042,17.08528781,13.65397634,25.09746037,14.04536462,17.99552182,11.82049112,13.1352934,13.9642985,11.06648373,12.46963278,11.92157363,15.65632502,ACACA,protein_coding
ACACB,108.8194197,58.27922631,101.6681,49.66867088,53.36151713,82.45426243,114.5114071,61.19375156,69.17086647,80.00854156,85.49077462,91.22638038,73.00140013,97.84366262,ACACB,protein_coding
ACAD11,29.64317801,38.24293232,37.13702271,32.96833201,38.88528047,43.78948706,37.359717,27.56107901,28.47655762,34.35589467,30.94650969,36.8191547,31.66862148,41.83115228,ACAD11,protein_coding
ACAD8,22.9444491,18.7107737,15.92195768,16.00889415,21.18775623,24.09840684,23.65557517,8.591998388,14.21564606,23.05201695,19.06962223,20.58535243,13.93939872,19.19263048,ACAD8,protein_coding
ACAD9,11.64754811,17.30112629,22.05441403,24.31120543,23.84825514,20.78777451,21.65086239,21.64914223,20.96786455,18.53818472,18.52230939,26.11105462,28.25214612,18.35254642,ACAD9,protein_coding
ACADL,112.8600744,145.3013401,159.5390504,156.8903623,194.1091836,156.5108509,157.2865282,110.8774094,163.1387187,145.7673541,147.6992508,162.033591,144.8729719,161.2029139,ACADL,protein_coding
ACADS,24.30351496,23.04155724,25.84354325,19.59086118,18.65626795,22.74692851,22.61958828,17.13563435,20.29228036,18.82107106,20.06865163,22.54243738,16.82960259,22.80075515,ACADS,protein_coding
ACADSB,8.333710984,13.30165657,10.23868784,10.22626908,12.21029286,15.15117279,9.061104365,10.16585928,15.22407112,8.968152994,12.88298995,12.92383318,7.588583896,11.33142014,ACADSB,protein_coding
ACAN,0.881724004,0.474428424,0.209068699,0.20185461,0.812983687,0.449203456,0.203096124,0.053702399,0.239301537,0.266452219,0.408989714,0.863440064,0.430838659,0.714344238,ACAN,protein_coding
ACAP2,22.93758332,22.93692754,22.10025055,21.2687764,18.7963221,18.74721755,15.80277474,26.68864317,19.6873878,17.89409654,22.3094667,18.50264288,18.9303555,23.28756295,ACAP2,protein_coding
ACAP3,1.445899175,2.433584826,2.195991901,2.172730508,2.126226613,1.838137461,1.86907732,2.370055147,2.032322062,1.77628398,2.265925618,2.204280712,3.190309272,1.702643733,ACAP3,protein_coding
ACAT1,86.52013259,130.1118554,129.144966,125.3742335,116.7413555,146.2688117,145.8028754,93.17999521,127.7092722,100.867867,113.497329,122.7898819,146.1483833,119.0023901,ACAT1,protein_coding
ACAT2,5.283054842,4.509320328,5.577574745,4.520352775,10.15595329,6.961471193,6.406966699,4.631195985,4.119063394,5.892834536,8.038054465,7.621245878,11.6058599,5.848741322,ACAT2,protein_coding
ACBD3,22.73212725,25.81825028,27.15372001,32.61151017,28.3415859,30.41457422,25.23339785,33.80309435,32.42096959,23.22387263,25.83726358,36.93382728,48.89958942,31.59094786,ACBD3,protein_coding
ACBD4,21.20119038,8.703783995,11.21950698,7.561653437,8.950002947,10.5172259,16.87683481,8.1256493,7.019356412,9.817441831,7.20569965,9.62655763,5.230425864,8.567631482,ACBD4,protein_coding
ACBD5,43.03486534,73.16647664,71.26503939,70.6447208,116.6564219,54.18613693,59.83900532,102.5062443,67.97321674,45.03240381,54.25169115,55.16132581,102.7599072,67.12494878,ACBD5,protein_coding
ACBD6,3.829422303,3.558095703,3.441827737,2.807209827,3.612397909,3.581855521,4.007375744,2.177155111,2.831735424,3.268959157,3.353476323,3.381098949,3.307390412,2.725797989,ACBD6,protein_coding
ACBD7,1.343060033,2.112535133,1.821578141,1.971901635,0.354371564,1.136591839,2.064463534,0.734257703,2.256484252,0.552750115,0.849869819,1.012014834,1.208616321,2.116444227,ACBD7,protein_coding
ACCS,3.205573057,2.741374642,3.656467333,2.795484765,2.382297722,3.006825975,3.23056216,1.426736989,3.533899217,3.795528488,3.026846608,2.825804431,3.025961762,3.147758186,ACCS,protein_coding
ACCSL,0.12578702,0.073322282,0.081424449,0.224613802,0.170688291,0.239512098,0.282494123,0.384154506,0.285303092,0.190603812,0.242300462,0.516314154,0.249695781,0.090328051,ACCSL,protein_coding
ACD,14.21859205,6.983021552,8.920089494,7.119208206,5.981444638,8.32677956,10.53765854,6.435423323,5.474223063,8.87519057,9.966375612,9.840041896,6.119665264,8.397486431,ACD,protein_coding
ACE,2.298103223,2.589589303,0.420509277,4.623152823,0.79619752,5.440448865,9.026452046,1.231957498,0.79018211,4.49487441,6.86744697,0.82461997,0.43095311,0.934863282,ACE,protein_coding
ACE2,0.017094872,0,0.018970032,0,0.017397827,0.033965725,0,0,0,0.017269126,0,0,0,0,ACE2,protein_coding
ACER1,0.033828221,0,0,0.036243575,0,0,0,0.034437214,0.038363641,0,0,0.072445393,0,0,ACER1,protein_coding
ACER2,0.42611715,0.766451835,0.770083876,0.626114943,1.040805119,1.209500371,1.076191722,0.625894587,1.166697677,1.119197825,1.743603203,1.244990271,0.997645008,1.291740487,ACER2,protein_coding
ACER3,14.32305015,18.06805935,12.85136315,10.22184186,7.124287551,13.75649778,9.858717701,14.00620331,9.228356681,7.275259783,14.65422318,10.47502259,13.05577158,18.59890131,ACER3,protein_coding
ACHE,0.402196165,0.227745047,0.163648324,0.158001503,0.068220648,0.173143048,0.216781768,0.191070462,0.197651756,0.203147941,0.336843758,0.11484399,0.204386999,0.057763664,ACHE,protein_coding
ACIN1,30.96837078,18.37606237,21.65370292,15.67989299,18.637383,22.03694916,26.4040194,19.60454669,15.95985216,22.39550353,21.48492751,18.59718193,17.93579831,21.28016545,ACIN1,protein_coding
ACKR1,1.133537755,0.966948906,1.012437628,1.155230381,0.534607316,1.318373323,1.609387849,0.675479577,0.783849699,0.921659637,0.833576019,1.06575223,0.526864263,0.684948692,ACKR1,protein_coding
ACKR2,4.666493511,5.383308168,2.64340751,3.298220646,0.832973662,1.820386468,8.138242069,3.121403211,4.931941944,2.406392194,3.449891585,2.171385871,5.12149311,1.763234899,ACKR2,protein_coding
ACKR4,20.63057092,130.2686182,127.8448566,253.3102011,586.6032448,127.3393597,101.5751652,89.8554999,32.35758745,132.2100892,162.7009088,135.5773136,165.1742306,76.19494738,ACKR4,protein_coding
ACLY,9.334809186,8.408505896,13.46702644,12.56210388,11.92683659,9.63010284,10.15641184,9.043328466,9.142455358,11.66906637,10.90546463,9.741486555,15.28003033,9.89295596,ACLY,protein_coding
ACMSD,0,0.020160325,0.044776111,0.054038843,0,0.030064257,0.021748484,0,0.011439969,0.0509517,0,0.0756108,0.019223426,0.032597441,ACMSD,protein_coding
ACO1,9.433978999,7.892029539,9.009827279,11.03183214,9.666897266,9.729636674,6.912437511,13.85391302,9.736180581,8.201980947,13.08833176,8.180192833,10.571419,10.2512988,ACO1,protein_coding
ACO2,108.8247705,114.7891363,120.0590125,115.3470941,101.4164763,123.0516852,134.4705221,94.41383279,114.9341077,130.5957151,121.6914508,119.3282709,129.7023483,112.1589897,ACO2,protein_coding
ACOD1,0.609644713,0.568587015,1.03732679,4.310946264,2.295660702,0.423955124,0.262876418,0.599932519,0.368736555,0.554273119,1.409212452,0.522237935,0.793882132,0.941243704,ACOD1,protein_coding
